of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10415.497599791865,10415.495662095262,10415.375644852285,10414.609170514348,5701431862288890.0,5716815476362468.0
10411.481435017997,10411.483583343173,10411.363651038466,10410.317797879203,5721611685536841.0,5736107644165195.0
10392.103885906077,10392.106176924803,10391.981809939205,10394.331842921029,5742986465254763.0,5758384769808732.0
10410.905119875346,10410.904041655887,10410.791908641155,10411.472349238946,5748507874124144.0,5762032558577634.0
10373.796690223126,10373.79771506776,10373.700830531625,10372.182053234656,5707621355581299.0,5717463594690726.0
10414.769716360282,10414.770290288452,10414.654593180865,10415.885578717383,5749018368142261.0,5762950333292021.0
10416.83419033269,10416.832628298434,10416.705764980343,10415.709523008602,5679744587548965.0,5696503642751723.0
10398.914787627626,10398.91136910676,10398.812621326677,10398.093396931672,5710365945334308.0,5721544383310553.0
10396.488846109847,10396.490580958032,10396.37845418811,10396.26748366174,5664593007590847.0,5677515634811528.0
10416.035504730686,10416.03540712494,10415.903193749718,10418.653120111516,5779622989641863.0,5797207112477744.0
10397.0141907595,10397.012767988346,10396.880951453913,10395.168252497835,5721252585541959.0,5739020658295186.0
10409.340112014186,10409.337917523899,10409.22443644012,10410.055230345903,5862772154323631.0,5876819627246980.0
10415.941731877176,10415.94269119175,10415.809642954991,10415.863070224472,5769979151820485.0,5787516032672833.0
10413.839140773694,10413.84163252739,10413.724023501427,10414.00186658526,5763659637278181.0,5777590043087601.0
10413.16896456949,10413.170382801334,10413.081627423342,10412.345870628975,5759488228655042.0,5767517823332092.0
10407.60624522809,10407.608277902424,10407.484860677105,10406.813734679992,5712043474796442.0,5727302314763787.0
10409.941651256899,10409.94118270433,10409.834203298233,10411.607314785813,5707264371028211.0,5719565018457633.0
10414.359937688114,10414.36169890484,10414.23329244855,10415.380849885649,5809812343029099.0,5826191773514326.0
10394.532343288287,10394.53088042692,10394.423290014643,10393.000378380535,5766918395009305.0,5779556739353246.0
10416.068800550383,10416.067903715895,10415.940516908102,10414.236185653897,5738193347503370.0,5754921836851156.0
10414.792806808211,10414.793752637077,10414.686749400404,10415.474009012742,5671800185319904.0,5683806259238640.0
