of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8426.247260691442,8426.245195252688,8426.734947615258,5.3409165253425645e+17,1.1084956315828858e+18
8439.235091088134,8439.234291845973,8440.417718362209,5.356848570184953e+17,1.1118609033163839e+18
8423.191879554859,8423.189002331637,8424.947159147625,5.3376777794923686e+17,1.1077552401279899e+18
8438.467407788346,8438.468326133705,8443.168042697913,5.348394463497206e+17,1.1109105853422737e+18
8439.279363783882,8439.278094706548,8437.920551137566,5.360204943294721e+17,1.1122026489468436e+18
8419.731778889322,8419.730283393019,8416.879002795404,5.3369493701635936e+17,1.1072110418679162e+18
8434.746683614883,8434.745401416192,8433.282258956964,5.349610903363841e+17,1.1105244866811762e+18
8442.058687580198,8442.059005314193,8444.240025114506,5.356833344294647e+17,1.1122449740486194e+18
8427.409278306635,8427.408859121655,8430.253377302952,5.34607659119709e+17,1.109170016564421e+18
8414.891104897612,8414.887043469349,8411.83574572821,5.3301320483278586e+17,1.1058700522938158e+18
8409.35798013065,8409.357065567867,8409.527530117846,5.315711457251338e+17,1.1036748090571631e+18
8435.162349695442,8435.162468163559,8433.440700228139,5.3550258664030554e+17,1.1111227185223377e+18
8439.055508922012,8439.053210315458,8438.281665095896,5.3567351615797856e+17,1.1118250898129905e+18
8426.593092054796,8426.591179329105,8428.8734592745,5.340492427794267e+17,1.1085003279725641e+18
8421.12706013536,8421.124634278422,8425.030384168533,5.33586508444906e+17,1.1072925430812993e+18
8439.251890761634,8439.251507502406,8437.554394919844,5.3580042634850925e+17,1.111978837987945e+18
8438.142855693499,8438.140904002907,8440.74367540716,5.3570512858579437e+17,1.1117320079234996e+18
8442.422873137728,8442.420437724064,8444.475497010535,5.35747109226818e+17,1.1123584981892438e+18
8426.660609864637,8426.661019454274,8425.254018835261,5.3388557474495846e+17,1.1083459567836306e+18
8425.252153870111,8425.250468245566,8423.636728014946,5.3376265741112435e+17,1.1080310267909436e+18
8438.233374667027,8438.232284883277,8436.437496719022,5.3634443615547834e+17,1.112383783036213e+18
8435.35521347812,8435.355691113476,8435.065280453173,5.3538158251315283e+17,1.111028001486135e+18
8437.635323509228,8437.63329687348,8437.103643202561,5.358275879220541e+17,1.111785253972227e+18
